Country Name,Country Code,Region,IncomeGroup,Year,Production
Croatia,HRV,Europe & Central Asia,High income,2000,69.86
Haiti,HTI,Latin America & Caribbean,Lower middle income,2000,61.11
Hungary,HUN,Europe & Central Asia,High income,2000,75.55
Indonesia,IDN,East Asia & Pacific,Lower middle income,2000,60.52
India,IND,South Asia,Lower middle income,2000,65.87
Ireland,IRL,Europe & Central Asia,High income,2000,99.25
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Lower middle income,2000,68.84
Iraq,IRQ,Middle East & North Africa,Upper middle income,2000,112.5
Iceland,ISL,Europe & Central Asia,High income,2000,74.9
Israel,ISR,Middle East & North Africa,High income,2000,89.58
Italy,ITA,Europe & Central Asia,High income,2000,116.25
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2000,103.4
Jordan,JOR,Middle East & North Africa,Upper middle income,2000,53.28
Japan,JPN,East Asia & Pacific,High income,2000,114.83
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2000,50.7
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2000,59.85
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,2000,81.98
Cambodia,KHM,East Asia & Pacific,Lower middle income,2000,36.0
Kiribati,KIR,East Asia & Pacific,Lower middle income,2000,60.89
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,2000,475.52
"Korea, Rep.",KOR,East Asia & Pacific,High income,2000,116.57
Kuwait,KWT,Middle East & North Africa,High income,2000,37.26
Lao PDR,LAO,East Asia & Pacific,Lower middle income,2000,32.29
Lebanon,LBN,Middle East & North Africa,Lower middle income,2000,95.68
Liberia,LBR,Sub-Saharan Africa,Low income,2000,90.46
Libya,LBY,Middle East & North Africa,Upper middle income,2000,84.5
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,2000,215.28
Sri Lanka,LKA,South Asia,Lower middle income,2000,73.55
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2000,114.11
Lithuania,LTU,Europe & Central Asia,High income,2000,68.47
Luxembourg,LUX,Europe & Central Asia,High income,2000,112.82
Latvia,LVA,Europe & Central Asia,High income,2000,50.44
"Macao SAR, China",MAC,East Asia & Pacific,High income,2000,76.39
Morocco,MAR,Middle East & North Africa,Lower middle income,2000,50.98
Moldova,MDA,Europe & Central Asia,Upper middle income,2000,83.72
Madagascar,MDG,Sub-Saharan Africa,Low income,2000,70.68
Maldives,MDV,South Asia,Upper middle income,2000,140.33
Mexico,MEX,Latin America & Caribbean,Upper middle income,2000,71.67
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2000,19.33
North Macedonia,MKD,Europe & Central Asia,Upper middle income,2000,82.04
Mali,MLI,Sub-Saharan Africa,Low income,2000,36.2
Malta,MLT,Middle East & North Africa,High income,2000,108.4
Myanmar,MMR,East Asia & Pacific,Lower middle income,2000,63.14
Mongolia,MNG,East Asia & Pacific,Lower middle income,2000,33.67
Mozambique,MOZ,Sub-Saharan Africa,Low income,2000,66.73
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2000,61.67
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,2000,123.41
Malawi,MWI,Sub-Saharan Africa,Low income,2000,43.36
Malaysia,MYS,East Asia & Pacific,Upper middle income,2000,71.58
Namibia,NAM,Sub-Saharan Africa,Upper middle income,2000,65.56
New Caledonia,NCL,East Asia & Pacific,High income,2000,71.27
Niger,NER,Sub-Saharan Africa,Low income,2000,30.47
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2000,66.75
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2000,68.05
Netherlands,NLD,Europe & Central Asia,High income,2000,96.53
Norway,NOR,Europe & Central Asia,High income,2000,95.48
Nepal,NPL,South Asia,Lower middle income,2000,60.98
Nauru,NRU,East Asia & Pacific,High income,2000,86.71
New Zealand,NZL,East Asia & Pacific,High income,2000,77.34
Oman,OMN,Middle East & North Africa,High income,2000,73.43
Pakistan,PAK,South Asia,Lower middle income,2000,77.58
Panama,PAN,Latin America & Caribbean,High income,2000,99.77
Peru,PER,Latin America & Caribbean,Upper middle income,2000,62.14
Philippines,PHL,East Asia & Pacific,Lower middle income,2000,72.38
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2000,77.51
Poland,POL,Europe & Central Asia,High income,2000,101.96
Puerto Rico,PRI,Latin America & Caribbean,High income,2000,121.61
"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,Low income,2000,88.44
Portugal,PRT,Europe & Central Asia,High income,2000,86.08
Paraguay,PRY,Latin America & Caribbean,Upper middle income,2000,39.92
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,2000,152.03
French Polynesia,PYF,East Asia & Pacific,High income,2000,90.43
Qatar,QAT,Middle East & North Africa,High income,2000,92.6
Romania,ROU,Europe & Central Asia,High income,2000,69.59
Russian Federation,RUS,Europe & Central Asia,Upper middle income,2000,63.36
Rwanda,RWA,Sub-Saharan Africa,Low income,2000,85.47
Saudi Arabia,SAU,Middle East & North Africa,High income,2000,105.1
Senegal,SEN,Sub-Saharan Africa,Lower middle income,2000,75.13
Singapore,SGP,East Asia & Pacific,High income,2000,44.56
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2000,87.25
Sierra Leone,SLE,Sub-Saharan Africa,Low income,2000,29.01
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2000,102.25
Somalia,SOM,Sub-Saharan Africa,Low income,2000,94.97
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,2000,108.93
Suriname,SUR,Latin America & Caribbean,Upper middle income,2000,62.02
Slovak Republic,SVK,Europe & Central Asia,High income,2000,72.9
Slovenia,SVN,Europe & Central Asia,High income,2000,113.76
Sweden,SWE,Europe & Central Asia,High income,2000,91.58
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2000,77.73
Seychelles,SYC,Sub-Saharan Africa,High income,2000,119.49
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,2000,129.42
Chad,TCD,Sub-Saharan Africa,Low income,2000,49.22
Togo,TGO,Sub-Saharan Africa,Low income,2000,64.37
Thailand,THA,East Asia & Pacific,Upper middle income,2000,74.25
Tajikistan,TJK,Europe & Central Asia,Lower middle income,2000,44.72
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,2000,101.42
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,2000,94.49
Tonga,TON,East Asia & Pacific,Upper middle income,2000,99.71
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2000,214.73
Tunisia,TUN,Middle East & North Africa,Lower middle income,2000,64.62
Turkiye,TUR,Europe & Central Asia,Upper middle income,2000,83.79
Tuvalu,TUV,East Asia & Pacific,Upper middle income,2000,85.49
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,2000,38.31
Uganda,UGA,Sub-Saharan Africa,Low income,2000,114.98
Ukraine,UKR,Europe & Central Asia,Lower middle income,2000,49.15
Uruguay,URY,Latin America & Caribbean,High income,2000,39.67
United States,USA,North America,High income,2000,79.88
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2000,46.6
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,2000,70.66
"Venezuela, RB",VEN,Latin America & Caribbean,,2000,97.17
Vietnam,VNM,East Asia & Pacific,Lower middle income,2000,60.21
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2000,79.73
Samoa,WSM,East Asia & Pacific,Lower middle income,2000,80.21
"Yemen, Rep.",YEM,Middle East & North Africa,Low income,2000,77.71
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2000,89.69
Zambia,ZMB,Sub-Saharan Africa,Low income,2000,42.78
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,2000,141.9
Afghanistan,AFG,South Asia,Low income,2001,53.28
Angola,AGO,Sub-Saharan Africa,Lower middle income,2001,31.92
Albania,ALB,Europe & Central Asia,Upper middle income,2001,53.23
United Arab Emirates,ARE,Middle East & North Africa,High income,2001,214.47
Argentina,ARG,Latin America & Caribbean,Upper middle income,2001,63.57
Armenia,ARM,Europe & Central Asia,Upper middle income,2001,44.42
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2001,98.57
Australia,AUS,East Asia & Pacific,High income,2001,89.67
Austria,AUT,Europe & Central Asia,High income,2001,104.79
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2001,68.27
Burundi,BDI,Sub-Saharan Africa,Low income,2001,88.37
Belgium,BEL,Europe & Central Asia,High income,2001,84.94
Benin,BEN,Sub-Saharan Africa,Lower middle income,2001,59.02
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2001,59.3
Bangladesh,BGD,South Asia,Lower middle income,2001,61.37
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2001,74.03
Bahrain,BHR,Middle East & North Africa,High income,2001,91.97
"Bahamas, The",BHS,Latin America & Caribbean,High income,2001,63.59
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2001,77.04
Belarus,BLR,Europe & Central Asia,Upper middle income,2001,78.91
Belize,BLZ,Latin America & Caribbean,Upper middle income,2001,100.8
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2001,57.61
Brazil,BRA,Latin America & Caribbean,Upper middle income,2001,57.35
Barbados,BRB,Latin America & Caribbean,High income,2001,203.83
Brunei Darussalam,BRN,East Asia & Pacific,High income,2001,86.02
Bhutan,BTN,South Asia,Lower middle income,2001,60.87
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2001,68.8
Central African Republic,CAF,Sub-Saharan Africa,Low income,2001,92.87
Canada,CAN,North America,High income,2001,56.67
Switzerland,CHE,Europe & Central Asia,High income,2001,99.27
Chile,CHL,Latin America & Caribbean,High income,2001,75.4
China,CHN,East Asia & Pacific,Upper middle income,2001,64.5
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2001,67.59
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2001,43.13
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2001,46.96
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2001,64.77
Colombia,COL,Latin America & Caribbean,Upper middle income,2001,73.84
Comoros,COM,Sub-Saharan Africa,Lower middle income,2001,87.05
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2001,97.55
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2001,71.32
Cuba,CUB,Latin America & Caribbean,Upper middle income,2001,124.68
Cyprus,CYP,Europe & Central Asia,High income,2001,169.82
Czechia,CZE,Europe & Central Asia,High income,2001,96.34
Germany,DEU,Europe & Central Asia,High income,2001,100.61
Djibouti,DJI,Middle East & North Africa,Lower middle income,2001,75.87
Dominica,DMA,Latin America & Caribbean,Upper middle income,2001,98.28
Denmark,DNK,Europe & Central Asia,High income,2001,89.27
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2001,56.69
Algeria,DZA,Middle East & North Africa,Lower middle income,2001,36.67
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2001,83.79
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2001,72.04
Eritrea,ERI,Sub-Saharan Africa,Low income,2001,94.39
Spain,ESP,Europe & Central Asia,High income,2001,94.07
Estonia,EST,Europe & Central Asia,High income,2001,61.54
Ethiopia,ETH,Sub-Saharan Africa,Low income,2001,38.81
Finland,FIN,Europe & Central Asia,High income,2001,100.73
Fiji,FJI,East Asia & Pacific,Upper middle income,2001,143.25
France,FRA,Europe & Central Asia,High income,2001,94.03
Faroe Islands,FRO,Europe & Central Asia,High income,2001,95.24
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,2001,92.08
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2001,71.08
United Kingdom,GBR,Europe & Central Asia,High income,2001,87.05
Georgia,GEO,Europe & Central Asia,Upper middle income,2001,138.62
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2001,53.64
Guinea,GIN,Sub-Saharan Africa,Low income,2001,59.14
"Gambia, The",GMB,Sub-Saharan Africa,Low income,2001,124.62
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2001,63.51
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2001,77.62
Greece,GRC,Europe & Central Asia,High income,2001,112.37
Grenada,GRD,Latin America & Caribbean,Upper middle income,2001,106.35
Guatemala,GTM,Latin America & Caribbean,Upper middle income,2001,53.05
Guyana,GUY,Latin America & Caribbean,Upper middle income,2001,75.33
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,2001,96.2
Honduras,HND,Latin America & Caribbean,Lower middle income,2001,64.79
Croatia,HRV,Europe & Central Asia,High income,2001,80.2
Haiti,HTI,Latin America & Caribbean,Lower middle income,2001,58.46
Hungary,HUN,Europe & Central Asia,High income,2001,96.61
Indonesia,IDN,East Asia & Pacific,Lower middle income,2001,61.48
India,IND,South Asia,Lower middle income,2001,67.6
Ireland,IRL,Europe & Central Asia,High income,2001,100.11
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Lower middle income,2001,69.57
Iraq,IRQ,Middle East & North Africa,Upper middle income,2001,131.44
Iceland,ISL,Europe & Central Asia,High income,2001,84.39
Israel,ISR,Middle East & North Africa,High income,2001,88.24
Italy,ITA,Europe & Central Asia,High income,2001,113.24
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2001,109.65
Jordan,JOR,Middle East & North Africa,Upper middle income,2001,45.62
Japan,JPN,East Asia & Pacific,High income,2001,113.78
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2001,66.33
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2001,66.69
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,2001,89.04
Cambodia,KHM,East Asia & Pacific,Lower middle income,2001,36.38
Kiribati,KIR,East Asia & Pacific,Lower middle income,2001,61.18
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,2001,477.71
"Korea, Rep.",KOR,East Asia & Pacific,High income,2001,118.03
Kuwait,KWT,Middle East & North Africa,High income,2001,35.85
Lao PDR,LAO,East Asia & Pacific,Lower middle income,2001,32.7
Lebanon,LBN,Middle East & North Africa,Lower middle income,2001,86.04
Liberia,LBR,Sub-Saharan Africa,Low income,2001,88.51
Libya,LBY,Middle East & North Africa,Upper middle income,2001,81.02
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,2001,177.27
Sri Lanka,LKA,South Asia,Lower middle income,2001,70.11
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2001,147.86
Lithuania,LTU,Europe & Central Asia,High income,2001,55.64
Luxembourg,LUX,Europe & Central Asia,High income,2001,101.19
Latvia,LVA,Europe & Central Asia,High income,2001,49.5
"Macao SAR, China",MAC,East Asia & Pacific,High income,2001,80.09
Morocco,MAR,Middle East & North Africa,Lower middle income,2001,58.05
Moldova,MDA,Europe & Central Asia,Upper middle income,2001,88.03
Madagascar,MDG,Sub-Saharan Africa,Low income,2001,73.62
Maldives,MDV,South Asia,Upper middle income,2001,128.37
Mexico,MEX,Latin America & Caribbean,Upper middle income,2001,76.9
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2001,17.0
North Macedonia,MKD,Europe & Central Asia,Upper middle income,2001,71.98
Mali,MLI,Sub-Saharan Africa,Low income,2001,43.84
Malta,MLT,Middle East & North Africa,High income,2001,101.28
Myanmar,MMR,East Asia & Pacific,Lower middle income,2001,66.46
Mongolia,MNG,East Asia & Pacific,Lower middle income,2001,36.27
Mozambique,MOZ,Sub-Saharan Africa,Low income,2001,72.66
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2001,51.06
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,2001,139.68
Malawi,MWI,Sub-Saharan Africa,Low income,2001,46.31
Malaysia,MYS,East Asia & Pacific,Upper middle income,2001,72.83
Namibia,NAM,Sub-Saharan Africa,Upper middle income,2001,69.52
New Caledonia,NCL,East Asia & Pacific,High income,2001,75.69
Niger,NER,Sub-Saharan Africa,Low income,2001,40.61
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2001,65.81
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2001,64.57
Netherlands,NLD,Europe & Central Asia,High income,2001,88.43
Norway,NOR,Europe & Central Asia,High income,2001,94.65
Nepal,NPL,South Asia,Lower middle income,2001,63.34
Nauru,NRU,East Asia & Pacific,High income,2001,88.05
New Zealand,NZL,East Asia & Pacific,High income,2001,72.79
Oman,OMN,Middle East & North Africa,High income,2001,77.89
Pakistan,PAK,South Asia,Lower middle income,2001,72.08
Panama,PAN,Latin America & Caribbean,High income,2001,103.9
Peru,PER,Latin America & Caribbean,Upper middle income,2001,61.0
Philippines,PHL,East Asia & Pacific,Lower middle income,2001,74.85
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2001,73.55
Poland,POL,Europe & Central Asia,High income,2001,104.0
Puerto Rico,PRI,Latin America & Caribbean,High income,2001,115.36
"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,Low income,2001,97.44
Portugal,PRT,Europe & Central Asia,High income,2001,87.94
Paraguay,PRY,Latin America & Caribbean,Upper middle income,2001,48.64
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,2001,116.76
French Polynesia,PYF,East Asia & Pacific,High income,2001,87.81
Qatar,QAT,Middle East & North Africa,High income,2001,65.26
Romania,ROU,Europe & Central Asia,High income,2001,90.9
Russian Federation,RUS,Europe & Central Asia,Upper middle income,2001,70.94
Rwanda,RWA,Sub-Saharan Africa,Low income,2001,82.82
Saudi Arabia,SAU,Middle East & North Africa,High income,2001,115.69
Senegal,SEN,Sub-Saharan Africa,Lower middle income,2001,69.58
Singapore,SGP,East Asia & Pacific,High income,2001,48.68
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2001,83.37
Sierra Leone,SLE,Sub-Saharan Africa,Low income,2001,34.74
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2001,101.15
Somalia,SOM,Sub-Saharan Africa,Low income,2001,101.26
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,2001,113.38
Suriname,SUR,Latin America & Caribbean,Upper middle income,2001,68.43
Slovak Republic,SVK,Europe & Central Asia,High income,2001,88.43
Slovenia,SVN,Europe & Central Asia,High income,2001,94.8
Sweden,SWE,Europe & Central Asia,High income,2001,88.79
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2001,78.12
Seychelles,SYC,Sub-Saharan Africa,High income,2001,119.89
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,2001,128.29
Chad,TCD,Sub-Saharan Africa,Low income,2001,60.96
Togo,TGO,Sub-Saharan Africa,Low income,2001,72.4
Thailand,THA,East Asia & Pacific,Upper middle income,2001,78.38
Tajikistan,TJK,Europe & Central Asia,Lower middle income,2001,49.4
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,2001,107.18
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,2001,96.39
Tonga,TON,East Asia & Pacific,Upper middle income,2001,100.07
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2001,179.29
Tunisia,TUN,Middle East & North Africa,Lower middle income,2001,50.84
Turkiye,TUR,Europe & Central Asia,Upper middle income,2001,78.04
Tuvalu,TUV,East Asia & Pacific,Upper middle income,2001,82.75
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,2001,42.7
Uganda,UGA,Sub-Saharan Africa,Low income,2001,122.46
Ukraine,UKR,Europe & Central Asia,Lower middle income,2001,55.37
Uruguay,URY,Latin America & Caribbean,High income,2001,39.43
United States,USA,North America,High income,2001,77.73
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2001,48.8
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,2001,74.52
"Venezuela, RB",VEN,Latin America & Caribbean,,2001,98.19
Vietnam,VNM,East Asia & Pacific,Lower middle income,2001,61.7
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2001,84.16
Samoa,WSM,East Asia & Pacific,Lower middle income,2001,82.61
"Yemen, Rep.",YEM,Middle East & North Africa,Low income,2001,81.32
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2001,81.96
Zambia,ZMB,Sub-Saharan Africa,Low income,2001,41.79
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,2001,142.75
Afghanistan,AFG,South Asia,Low income,2002,63.83
Angola,AGO,Sub-Saharan Africa,Lower middle income,2002,37.62
Albania,ALB,Europe & Central Asia,Upper middle income,2002,52.12
United Arab Emirates,ARE,Middle East & North Africa,High income,2002,202.8
Argentina,ARG,Latin America & Caribbean,Upper middle income,2002,64.78
Armenia,ARM,Europe & Central Asia,Upper middle income,2002,45.3
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2002,102.86
Australia,AUS,East Asia & Pacific,High income,2002,90.75
Austria,AUT,Europe & Central Asia,High income,2002,103.57
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2002,71.78
Burundi,BDI,Sub-Saharan Africa,Low income,2002,103.09
Belgium,BEL,Europe & Central Asia,High income,2002,94.0
Benin,BEN,Sub-Saharan Africa,Lower middle income,2002,68.06
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2002,59.42
Bangladesh,BGD,South Asia,Lower middle income,2002,62.88
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2002,79.76
Bahrain,BHR,Middle East & North Africa,High income,2002,81.41
"Bahamas, The",BHS,Latin America & Caribbean,High income,2002,61.55
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2002,83.29
Belarus,BLR,Europe & Central Asia,Upper middle income,2002,82.2
Belize,BLZ,Latin America & Caribbean,Upper middle income,2002,88.96
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2002,60.53
Brazil,BRA,Latin America & Caribbean,Upper middle income,2002,61.1
Barbados,BRB,Latin America & Caribbean,High income,2002,202.19
Brunei Darussalam,BRN,East Asia & Pacific,High income,2002,88.45
Bhutan,BTN,South Asia,Lower middle income,2002,60.04
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2002,73.0
Central African Republic,CAF,Sub-Saharan Africa,Low income,2002,90.77
Canada,CAN,North America,High income,2002,49.85
Switzerland,CHE,Europe & Central Asia,High income,2002,106.94
Chile,CHL,Latin America & Caribbean,High income,2002,76.69
China,CHN,East Asia & Pacific,Upper middle income,2002,67.37
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2002,67.45
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2002,44.03
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2002,45.99
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2002,65.17
Colombia,COL,Latin America & Caribbean,Upper middle income,2002,76.49
Comoros,COM,Sub-Saharan Africa,Lower middle income,2002,86.31
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2002,89.13
